"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1",105.75,105.849998,102.410004,102.709999,55791000,100.99038
"2",100.559998,102.370003,99.870003,100.699997,68457400,99.01403
"3",98.68,100.129997,96.43,96.449997,81094400,94.835186
"4",98.550003,99.110001,96.760002,96.959999,70798000,95.336649
"5",98.970001,99.059998,97.339996,98.529999,49739400,96.880363
"6",100.550003,100.690002,98.839996,99.959999,49154200,98.286422
"7",100.32,101.190002,97.300003,97.389999,62439600,95.75945
"8",97.959999,100.480003,95.739998,99.519997,63170100,97.853786
"9",96.199997,97.709999,95.360001,97.129997,79833900,95.503801
"10",98.410004,98.650002,95.5,96.660004,53087700,95.041677
"11",95.099998,98.190002,93.419998,96.790001,72334400,95.169497
"12",97.059998,97.879997,94.940002,96.300003,52161500,94.687703
"13",98.629997,101.459999,98.370003,101.419998,65800500,99.721977
"14",101.519997,101.529999,99.209999,99.440002,51794500,97.775131
"15",99.93,100.879997,98.07,99.989998,75077000,98.315919
"16",96.040001,96.629997,93.339996,93.419998,133369700,91.855917
"17",93.790001,94.519997,92.389999,94.089996,55678800,92.514698
"18",94.790001,97.339996,94.349998,97.339996,64416500,95.710285
"19",96.470001,96.709999,95.400002,96.43,40943500,94.815524
"20",95.419998,96.040001,94.279999,94.480003,37357200,92.898175
"21",95,96.839996,94.080002,96.349998,45964300,94.736862
"22",95.860001,97.330002,95.190002,96.599998,46471700,95.498081
"23",96.519997,96.919998,93.690002,94.019997,46418100,92.947509
"24",93.129997,95.699997,93.040001,95.010002,54021400,93.926221
"25",94.290001,95.940002,93.93,94.989998,44331200,93.906445
"26",95.919998,96.349998,94.099998,94.269997,42343600,93.194657
"27",93.790001,94.720001,92.589996,93.699997,50074700,92.631159
"28",94.190002,94.5,93.010002,93.989998,40351400,92.917852
"29",95.019997,96.849998,94.610001,96.639999,49057900,95.537625
"30",96.669998,98.209999,96.150002,98.120003,44863200,97.000746
"31",98.839996,98.889999,96.089996,96.260002,39021000,95.161963
"32",96,96.760002,95.800003,96.040001,35374200,94.944471
"33",96.309998,96.900002,95.919998,96.879997,34280800,95.774885
"34",96.400002,96.5,94.550003,94.690002,31942600,93.609872
"35",93.980003,96.379997,93.32,96.099998,36255700,95.003784
"36",96.050003,96.760002,95.25,96.760002,27582700,95.656259
"37",97.199997,98.019997,96.580002,96.910004,28991100,95.80455
"38",96.860001,98.230003,96.650002,96.690002,35216300,95.587058
