"","GLD.Open","GLD.High","GLD.Low","GLD.Close","GLD.Volume","GLD.Adjusted"
"217",104.089996,104.230003,103.779999,103.830002,3527600,103.830002
"218",103.089996,104.32,103.040001,103.849998,6300500,103.849998
"219",103.540001,103.739998,103.449997,103.559998,3224200,103.559998
"220",103.980003,104.029999,103.519997,103.709999,2951200,103.709999
"221",103.379997,103.400002,101.980003,102.339996,8593100,102.339996
"222",102.389999,102.949997,102.040001,102.43,5043800,102.43
"223",103.07,104.089996,103.07,103.559998,5087600,103.559998
"224",103.580002,103.660004,102.970001,103.089996,5971600,103.089996
"225",102.480003,102.75,102.160004,102.260002,4042500,102.260002
"226",103.120003,103.25,102.690002,102.940002,3479600,102.940002
"227",102.470001,102.690002,102.209999,102.459999,2931300,102.459999
"228",101.010002,101.620003,100.989998,101.25,4993600,101.25
"229",101.529999,102.379997,101.519997,101.919998,6773000,101.919998
"230",102.300003,102.43,101.809998,102.279999,4645900,102.279999
"231",101.349998,101.349998,100.529999,100.690002,10223500,100.690002
"232",101.230003,101.970001,100.849998,101.760002,6499900,101.760002
"233",102.739998,104.209999,102.650002,104.019997,10670200,104.019997
"234",103.32,103.370003,102.5,102.669998,4393500,102.669998
"235",103.129997,103.260002,102.529999,102.839996,3412300,102.839996
"236",103.629997,103.660004,102.32,102.639999,6026300,102.639999
"237",102.510002,102.830002,102.339996,102.550003,3853500,102.550003
